challengeID,grit
2274,3.75
2279,3
2289,3.75
2294,4
2298,3.5
2302,3.25
2305,3.5
2310,4
2317,3
2321,3.5
2322,3.25
2324,3
2325,3.5
2326,3.75
2333,3.25
2336,4
2338,1.25
2339,2.5
2346,3.25
2348,3
2350,2.5
2351,3.75
2357,3
2358,2.75
2361,3.75
2362,2.5
2366,3.75
2369,4
2370,3.25
2372,3.25
2373,3
2374,4
2376,4
2380,3.5
2383,2.5
2385,3.25
2386,4
2389,3.75
2397,2.75
2398,2.75
2403,3.75
2406,3
2407,3.25
2409,3
2411,2.25
2412,3.75
2418,2.75
2420,4
2422,3
2426,3.75
2427,3.75
2430,3.75
2434,3.75
2436,3.25
2441,3.5
2448,3.25
2449,4
2453,4
2455,4
2456,3.75
2460,2.5
2465,4
2468,3.75
2469,3
2470,3
2473,4
2477,4
2479,4
2481,3.5
2483,2.5
2489,3
2490,3.25
2491,3.25
2494,3.25
2497,3.5
2500,4
2502,4
2503,4
2504,3
2505,3
2512,4
2516,4
2517,3.5
2522,4
2523,3.75
2525,4
2526,2.5
2527,3.25
2531,2.75
2536,4
2537,3.5
2542,3.25
2543,3.5
2544,3
2545,3
2546,2.75
2556,3.5
2558,3
2560,4
2565,3.75
2569,3
2571,3.75
2572,3.75
2576,3.5
2579,2.75
2580,3.5
2583,4
2585,2.75
2587,3.25
2589,3.25
2590,3.75
2594,4
2595,3.5
2598,3
2604,2
2609,4
2610,4
2611,3.25
2612,3
2615,3
2620,3
2625,3.75
2628,3.25
2629,3.5
2630,3.5
2631,4
2634,3.5
2644,4
2645,2
2646,4
2647,4
2649,3
2651,3.25
2652,3.5
2653,3
2655,3.75
2656,3.5
2657,3.25
2658,2.75
2660,3.5
2661,3.25
2664,3.25
2668,2.25
2669,4
2670,3.25
2674,3.25
2684,3.25
2686,3.5
2689,3
2693,2.25
2696,3.75
2705,2.5
2714,3.25
2719,3
2723,3
2725,3.25
2730,3
2731,3.25
2736,4
2742,3.25
2743,4
2750,4
2751,4
2753,4
2755,4
2757,3
2762,3.75
2764,3.75
2767,3.25
2768,3.25
2769,3.25
2775,3.25
2776,4
2777,3.25
2778,3.5
2787,3.5
2788,3.25
2789,3.5
2796,4
2798,4
2799,4
2800,3
2801,4
2803,4
2805,4
2808,3.5
2809,4
2812,4
2816,4
2825,3
2827,3.5
2833,4
2836,4
2843,3.75
2844,3.25
2845,4
2850,2
2852,3.25
2855,4
2863,3.75
2864,2.5
2865,3.25
2867,3.5
2869,3.25
2874,2.75
2877,3.5
2879,4
2882,2.75
2884,3
2892,4
2895,3
2898,3.25
2900,2.5
2901,3.75
2905,3.25
2906,4
2907,3.5
2910,3.25
2911,4
2912,3.5
2918,3.25
2920,3.75
2929,3.25
2931,3.5
2933,4
2943,3.75
2946,4
2947,4
2948,3.25
2954,3.5
2958,2.75
2962,2
2964,3.25
2968,3
2972,3
2973,3
2974,3.5
2975,3.25
2983,3.75
2986,4
2987,4
2988,3.25
2989,2.5
2991,2.5
2998,3.25
3002,3.75
3003,2.75
3005,3.25
3010,3.5
3011,3
3012,4
3015,3.5
3017,4
3018,3.5
3020,3.5
3023,3.75
3026,3.25
3029,3
3032,4
3034,3
3035,3
3038,2
3039,4
3043,3.5
3046,3.25
3047,3
3049,3
3052,3
3053,3.25
3058,3
3059,4
3061,3.25
3063,3
3071,3.75
3074,3.5
3076,2.75
3077,3
3080,4
3081,3
3083,3.5
3084,4
3087,3
3088,2.25
3089,3
3101,4
3102,3
3103,4
3105,4
3106,3.25
3107,3.25
3109,3.75
3110,3.5
3113,4
3117,3
3126,3.25
3130,4
3131,3
3137,3.25
3138,3.75
3141,4
3144,3.25
3148,4
3151,3
3155,3
3159,4
3162,2
3167,3.25
3170,4
3175,3.25
3177,3.25
3179,4
3180,2.25
3186,3.25
3190,3.25
3193,3.25
3198,3.5
3200,4
3201,4
3202,3.5
3206,3.25
3219,3.5
3221,3
3223,3.75
3224,3.25
3225,2.5
3230,3.25
3231,3.75
3232,2.5
3236,4
3237,2.25
3238,2.75
3239,3.25
3241,3.25
3243,3.5
3249,3.5
3252,4
3254,3.25
3263,2.75
3268,3.5
3271,3.25
3272,3.25
3273,3.75
3277,3.75
3279,4
3280,4
3285,4
3286,4
3289,3.25
3295,4
3297,2.75
3298,3.25
3299,3.75
3301,3.75
3303,3.25
3304,3.25
3311,4
3313,3.25
3319,4
3323,3.75
3325,3.25
3328,3.5
3330,3.5
3332,3.75
3334,3.5
3335,3
3339,3.25
3340,4
3341,3.5
3344,3.75
3345,3
3346,4
3347,3.5
3352,4
3355,3.25
3360,3.25
3361,3.5
3365,4
3366,3
3367,3
3370,3
3371,3.25
3373,3.5
3378,2.75
3382,3.75
3384,3.5
3386,3.75
3387,4
3388,4
3389,4
3390,3.25
3392,3.25
3394,3.75
3395,3.5
3397,2.75
3398,4
3400,3.5
3402,3.75
3406,4
3411,3.75
3413,3
3420,2.75
3422,3.5
3423,3.5
3424,3.25
3426,3.5
3433,3.5
3434,3.75
3438,3
3440,2.75
3449,4
3450,3.5
3452,2.5
3455,4
3459,4
3463,3.25
3466,4
3468,2.5
3470,3
3474,4
3477,4
3478,2.75
3481,3.75
3484,4
3485,3.25
3488,3.25
3493,3
3494,4
3497,4
3500,3.5
3504,3.75
3507,3.75
3520,3.25
3521,3
3522,4
3524,4
3529,4
3534,3.75
3535,3.5
3539,3.25
3544,3.75
3545,4
3546,3.25
3554,3.5
3560,4
3565,2
3567,4
3568,3.5
3571,4
3572,3.5
3576,4
3581,4
3585,2.75
3587,3
3589,4
3591,4
3592,3.25
3602,2.25
3605,2.75
3613,3.75
3616,3.25
3618,3
3620,3.5
3621,2
3625,4
3633,4
3634,2.75
3639,3.5
3640,3.5
3642,3.25
3643,3
3644,3.25
3650,3.25
3651,3.5
3654,3.75
3658,4
3659,3.5
3664,3.25
3666,3.75
3667,3
3669,3.25
3677,3.25
3678,3.25
3681,2.75
3683,3
3684,3.75
3685,4
3686,4
3689,3.5
3699,3.25
3700,2.75
3701,3.5
3703,3.75
3705,3.75
3706,3.5
3708,2.75
3710,2.75
3711,3.75
3713,3.25
3718,3.5
3721,4
3724,3
3730,2.75
3734,3.25
3736,3.25
3742,3.5
3743,3.25
3752,4
3755,3
3763,3.5
3766,3.75
3769,3.25
3770,3.5
3771,3.75
3772,1.75
3773,2.75
3775,4
3779,3.75
3782,4
3783,4
3785,3.25
3789,3.5
3791,3.25
3799,4
3802,3.25
3803,4
3806,3.25
3815,3.5
3820,3.5
3821,4
3823,3.75
3824,3.25
3825,3
3830,4
3834,4
3837,4
3838,3.5
3839,2.75
3841,3.25
3849,3.75
3852,2.75
3854,3.5
3856,4
3857,3.25
3858,3.5
3862,3.25
3863,4
3866,3.25
3869,3.75
3871,3.5
3873,3.75
3874,3.75
3882,3.25
3885,3.75
3887,3.25
3888,3.75
3894,3.5
3895,3.25
3899,3.75
3905,3
3909,4
3911,3.75
3919,2.75
3920,3.25
3924,3
3927,4
3928,4
3930,2.25
3932,3
3934,4
3938,4
3939,3.5
3944,2.75
3949,3.25
3955,3.75
3956,4
3959,3.25
3962,2.25
3965,3.5
3968,2.75
3973,3
3976,2.5
3983,4
3988,3
3993,3.25
4002,3
4007,3.25
4008,4
4013,3.5
4016,2.75
4017,3.25
4021,3
4024,3.75
4025,4
4027,2.25
4028,4
4030,3
4031,3.25
4036,3
4040,3.5
4043,4
4049,4
4053,3.5
4054,3.75
4056,3
4062,3.25
4063,3.75
4068,3.75
4071,3.5
4073,3.75
4077,3.5
4078,3.75
4082,3.25
4083,3.75
4088,3.5
4090,3.5
4097,3.5
4098,4
4108,3
4109,4
4111,3.25
4135,3.5
4138,4
4142,3
4146,3.75
4155,4
4157,4
4159,3.5
4165,4
4167,3
4168,3.25
4172,3.5
4177,1.75
4179,4
4183,3
4188,3.75
4193,3.75
4194,3.25
4200,3.25
4202,3.5
4204,4
4206,3.5
4213,3.75
4216,3
4217,3.75
4224,2.75
4229,3.5
4236,3.75
4239,2.75
4241,4
